TweetLink,TweetDate,TweetText
"https://x.com/nico_jeannen/status/1808720376249397353","2024-07-04T04:31:56.000Z","Just bought a MacBook M3 Max

Thanks JavaScript"
"https://x.com/manishkumar_dev/status/1807049662299529316","2024-06-29T13:53:07.000Z","Best YouTube Playlists to learn Programming:

C
http://youtube.com/playlist?list=PL9IEJIKnBJjG5H0ylFAzpzs9gSmW_eICB…

C++
http://youtube.com/playlist?list=PLlrATfBNZ98dudnM48yfGUldqGD0S4FFb…

 Python
http://youtube.com/playlist?list=PL-osiE80TeTt2d9bfVyTiXJA-UTHn6WwU…

 JavaScript
http://youtube.com/playlist?list=PLDyQo7g0_nsXlSfuoBpG5Fgz0Qe3IvWnA…

Java
http://youtube.com/playlist?list=PLsyeobzWxl7pe_IiTfNyr55kwJPWbgxB5…

C#
http://youtube.com/playlist?list=PLdo4fOcmZ0oVxKLQCHpiUWun7vlJJvUiN…

SQL
http://youtube.com/playlist?list=PLD20298E653A970F8…

 Go https://pic.x.com/hfbz9fm3rv"
"https://x.com/benitambulu_/status/1808121047952044211","2024-07-02T12:50:25.000Z","JavaScript "
"https://x.com/sarlloc/status/1806972378552963255","2024-06-29T08:46:01.000Z","How about a post on fractal-tree using JavaScript and simple recursion next?"
"https://x.com/RitikaAgrawal08/status/1806681612786000148","2024-06-28T13:30:37.000Z","Event Propagation in JavaScript "
"https://x.com/LewisMenelaws/status/1808522148836737476","2024-07-03T15:24:15.000Z","Does this annoying bug happen to anyone else when using JavaScript?"
"https://x.com/CreeCoder/status/1806543963123220934","2024-06-28T04:23:39.000Z","java != javascript"
"https://x.com/manishkumar_dev/status/1807346214264033384","2024-06-30T09:31:31.000Z","Learn Frontend Development and Earn Free Certificates:

Frontent Roadmap
https://roadmap.sh/frontend

HTML and CSS
https://freecodecamp.org/learn/2022/responsive-web-design/…

Learn HTML
https://codecademy.com/learn/learn-html…

Learn CSS
https://codecademy.com/learn/learn-css

JavaScript
https://scaler.com/topics/course/javascript-beginners/…

https://codecademy.com/learn/introduction-to-javascript… https://pic.x.com/5gbubhegui"
"https://x.com/Star_Knight12/status/1809127573554696366","2024-07-05T07:30:00.000Z","JavaScript is the supreme, isn't it?"
"https://x.com/abdussalampopsy/status/1807378734715900157","2024-06-30T11:40:44.000Z","Finally, after two weeks...

I'm glad to present my website, built with 
@webflow
 

Learnt new frameworks
Honed JavaScript skills
Pushed my limits

Do have a look:
http://abdussalampopoola.com"
